route_id,route_short_name,route_long_name,route_type,route_color,trip_count,unique_shape_count,direction_count,unique_stop_count,service_id_count,representative_shape_ids,representative_length_km
48855,338,East Fraser Heights/Guildford,3,,154,2,2,31,3,318005|318006,6.929
53126,736,Haney Place/Golden Ears,3,,112,2,2,24,2,318507|318508,15.197
53127,566,Campbell Valley/Langley Centre,3,,52,2,2,47,2,318535|318536,12.633
6612,002,Macdonald,3,,600,4,2,64,3,317230|317232,10.461
6613,003,Main,3,,476,2,2,75,3,317234|317235,10.561
6614,004,Powell/UBC Exchange,3,,447,13,2,99,5,318518|318524,17.965
6615,005,Robson,3,,672,7,2,29,3,317252|317256,3.663
6616,006,Davie,3,,672,3,2,29,3,317259|317260,3.218
6617,007,Nanaimo Station/Dunbar,3,,444,15,2,123,5,317263|317269,19.109
6618,008,Fraser,3,,533,9,2,85,3,317280|317287,9.931
6619,009,Broadway,3,,640,11,2,85,5,317297|317304,12.139
6620,010,Granville,3,,501,8,2,72,5,317321|317325,12.357
6621,015,Cambie,3,,458,2,2,45,3,317356|317357,6.891
6622,016,29th Avenue Station/Arbutus,3,,889,15,2,158,10,317366|317386,20.519
6623,017,Oak,3,,453,3,2,66,5,317397|317400,11.58
6624,019,Kingsway,3,,1087,20,2,106,8,317405|317413,15.015
6625,020,Victoria,3,,560,10,2,100,5,317421|317427,11.942
6626,022,Knight,3,,499,13,2,109,3,317435|317445,11.376
6627,025,King Edward,3,,481,8,2,128,3,317452|317457,23.988
6628,026,Joyce Station/29th Avenue Station,3,,282,3,2,82,5,317463|317464,10.735
6629,027,Rupert,3,,279,6,2,64,4,317465|317468,6.133
6630,028,Boundary,3,,336,6,2,63,3,317474|317478,12.201
6631,029,Elliott/29th Avenue Station,3,,260,2,2,38,3,317480|317481,4.463
6633,041,41st Avenue,3,,497,7,2,96,3,317487|317492,12.507
6635,044,UBC Exchange/Downtown Express,3,,105,2,2,29,1,317496|317498,12.066
6636,049,49th Avenue,3,,662,8,2,109,3,317500|317503,21.648
6637,050,Waterfront Station/False Creek South,3,,484,5,2,37,5,317508|317510,7.011
6638,084,4th Avenue Express,3,,271,2,2,39,3,317519|317520,13.66
6641,099,Broadway B-Line,3,d04110,957,10,2,40,5,317522|317528,14.051
6642,100,Marine Drive,3,,564,6,2,91,3,317532|317534,16.519
6643,101,Lougheed Station/22nd St Station,3,,219,3,2,60,4,317540|317541,11.093
6644,104,22nd St Station/Annacis Island,3,,263,4,2,43,3,317548|317551,11.317
6645,106,6th Street,3,,524,2,2,48,3,317555|317556,6.271
6646,110,Lougheed Station/Metrotown Station,3,,236,6,2,106,5,317559|317562,17.246
6647,112,12th Street,3,,372,3,2,31,5,317566|317567,5.041
6648,116,North Fraser Way,3,,255,5,2,79,5,317571|317573,15.003
6649,123,Canada Way,3,,456,7,2,74,4,317577|317582,11.881
6650,129,Patterson Station/Holdom Station,3,,240,3,2,84,3,317590|317592,11.879
6651,130,Willingdon,3,,558,7,2,57,5,317596|317601,11.838
6652,134,Lake City Station/Brentwood Station,3,,212,6,2,78,4,317612|317617,12.086
6654,136,Lougheed Station/Brentwood Station,3,,213,3,2,77,5,317618|317619,13.805
6656,143,SFU Exchange/Burquitlam Station,3,,80,2,2,10,1,317621|317622,6.98
6657,144,SFU Exchange/Metrotown Station,3,,282,4,2,89,5,317623|317626,19.265
6658,145,SFU Exchange/Production Station,3,,386,2,2,12,3,317628|317629,8.088
6659,151,Como Lake Ave,3,,240,4,2,63,5,317638|317640,8.767
6660,152,Coquitlam Central Station/Lougheed Station,3,,244,7,2,105,5,317642|317648,12.413
6661,153,Coquitlam Central Station/Braid Station,3,,233,3,2,72,4,317651|317652,11.317
6662,128,8th Avenue,3,,271,3,2,49,5,317586|317588,7.213
6663,155,6th Avenue,3,,241,2,2,47,3,317653|317654,7.514
6664,156,Braid Station/Lougheed Station,3,,193,2,2,100,3,317655|317656,14.942
6665,157,Burquitlam Station/Lougheed Station,3,,224,2,2,61,3,317657|317658,11.123
6666,159,Coquitlam Central Station/Braid Station,3,,223,7,2,90,5,317661|317665,19.516
6667,160,Port Coquitlam Station/Kootenay Loop,3,,403,2,2,111,5,317668|317669,26.028
6668,169,Coquitlam Central Station/Braid Station,3,,233,2,2,31,3,317670|317671,11.044
6672,210,Mountain Hwy Express,3,,216,9,2,76,5,317731|317737,18.305
6673,211,Seymour/Phibbs Exchange/Burrard Station,3,,276,11,2,86,5,317743|317751,21.057
6674,212,Dollarton Hwy,3,,205,5,2,39,5,317753|317755,8.764
6675,214,Blueridge/Phibbs Exchange/Burrard Station,3,,200,6,2,54,3,317760|317764,5.945
6676,228,Grand Blvd,3,,261,7,2,63,5,317777|317781,8.331
6677,229,Lonsdale Ave,3,,271,2,2,45,7,317783|317784,6.249
6678,230,Lonsdale Ave,3,,225,6,2,47,3,317787|317789,5.933
6679,232,Grouse Mountain/Phibbs Exchange,3,,195,5,2,93,4,317794|317798,13.333
6680,236,Grouse Mountain/Lonsdale Quay,3,,311,4,2,56,5,317800|317803,9.705
6682,240,Lynn Valley/Downtown,3,,476,7,2,77,5,317805|317810,14.742
6683,241,Upper Lonsdale/Downtown,3,,30,4,2,74,1,317815|317816,14.456
6685,246,Highland/Downtown,3,,219,7,2,67,5,317820|317822,13.432
6686,247,Grouse Mountain/Downtown,3,,10,3,2,61,1,317827|317828,16.453
6687,250,Horseshoe Bay/Dundarave/Vancouver,3,,632,13,2,119,3,317840|317847,10.841
6688,251,Queens/Park Royal,3,,111,2,2,83,3,317853|317854,9.657
6689,252,Inglewood/Park Royal,3,,110,2,2,51,3,317855|317857,6.817
6690,253,Caulfeild/Vancouver/Park Royal,3,,110,4,2,95,3,317860|317862,10.399
6691,254,British Properties/Park Royal/Van,3,,102,7,2,120,3,317864|317869,8.531
6692,255,Dundarave/Capilano University,3,,279,5,2,101,3,317874|317876,15.756
6693,257,Horseshoe Bay/Vancouver Express,3,,400,2,2,15,5,317885|317886,22.017
6698,301,Newton Exchange/Brighouse Station Express,3,,257,2,2,34,3,317901|317902,29.532
6699,311,Scottsdale/Bridgeport Station,3,,25,2,2,29,1,317908|317909,29.09
6700,312,112 Street,3,,243,5,2,64,5,317910|317913,12.262
6701,314,Surrey Central Station/Sunbury,3,,131,7,2,68,4,317916|317921,5.918
6702,316,116 Street,3,,181,4,2,73,3,317925|317926,11.813
6703,319,Scott Road,3,,514,6,2,60,3,317929|317932,12.732
6704,320,Langley/Fleetwood/Surrey Central Station,3,,422,6,2,125,3,317934|317937,24.694
6705,321,King George Blvd,3,,627,17,2,143,3,317942|317952,22.255
6706,323,128 Street,3,,602,4,2,70,3,317959|317963,10.895
6707,324,132 Street,3,,293,4,2,64,5,317967|317970,11.017
6708,325,140 Street,3,,264,6,2,55,5,317972|317976,8.281
6709,326,Guildford/Surrey Central Station,3,,106,3,2,68,5,317979|317980,12.415
6710,329,Surrey Central Station/Scottsdale,3,,37,5,2,64,2,317985|322475,11.029
6712,335,Newton Exchange/Surrey Central Station,3,,519,11,2,111,5,317988|317992,18.899
6713,340,Scottsdale/22nd St Station,3,,285,2,2,27,3,318007|318008,16.501
6714,345,152 Street,3,,108,4,2,88,3,318022|318023,20.481
6715,351,White Rock Centre/Bridgeport Station,3,,443,4,2,46,3,318028|318030,38.177
6716,352,White Rock Centre/Bridgeport Station,3,,22,2,2,72,1,318032|318033,43.574
6717,354,White Rock South/Bridgeport Station,3,,19,2,2,79,3,318034|318035,45.441
6718,391,116 Street,3,,12,2,2,56,3,318067|318068,10.618
6719,393,128 Street,3,,12,4,2,81,1,318070|318071,13.631
